covered,expected_by_suite,group,observed_in_run,tool
True,True,read_only,True,list_documents
True,True,read_only,True,outline_document
True,True,read_only,True,search_evidence
True,True,read_only,True,read_evidence
False,False,read_only,False,get_kpi_context
False,False,read_only,False,calculate_from_evidence
False,False,read_only,False,list_tabular_reviews
False,False,read_only,False,get_tabular_review
False,False,read_only,False,list_playbooks
False,False,read_only,False,read_playbook_rules
True,True,read_only,True,get_memory_context
True,True,approval_required,True,suggest_tabular_review
False,False,approval_required,False,create_tabular_review
False,False,approval_required,False,generate_tabular_review
False,False,approval_required,False,create_draft_artifact
False,False,approval_required,False,create_redline_artifact
False,False,approval_required,False,create_editable_copy
False,False,approval_required,False,duplicate_document_copy
False,False,forbidden,False,send_email
False,False,forbidden,False,send_external_notice
False,False,forbidden,False,mutate_source_contract
False,False,forbidden,False,apply_redline_to_original
