approval_required_action_rate,artifact_grounding,attempt,case_id,forbidden_tool_block_rate,layer,passed,required_column_completion,row_citation_precision,score,source_contract_immutability,table_cell_accuracy,table_schema_correctness,tool_argument_accuracy,tool_selection_accuracy,tool_sequence_validity,workflow_completion
0.0,1.0,1,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:99e531dcce,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:99e531dcce,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:99e531dcce,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:6d7d09769f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:6d7d09769f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0011-metlife-inc-remarketing-agreement-f63e27b47b72:tools:table_review:6d7d09769f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:439c2eb6f1,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:439c2eb6f1,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:439c2eb6f1,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:fa7f0ef966,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:fa7f0ef966,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0040-cytodyninc-20200109-10-q-ex-10-5-11941634-ex-10-5-license-ag-abc8e9538636:tools:table_review:fa7f0ef966,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:a91029b8c5,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:a91029b8c5,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:a91029b8c5,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:b7c766b98c,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:b7c766b98c,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0073-antares-pharma-inc-manufacturing-agreement-b68b061aa76e:tools:table_review:b7c766b98c,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
