kpi_id,kpi_name,actual_value,timestamp,unit,period,source_record_id
KPI-TEL-01,5G SA Core Uptime,99.999,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-01
KPI-TEL-02,gNodeB Active Availability,99.962,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-02
KPI-TEL-03,URLLC Air-Interface P99 Latency,3.45,2028-01-31T23:59:59Z,ms,2028-01,HIST-202801-03
KPI-TEL-04,MEC Compute Processing Latency,4.12,2028-01-31T23:59:59Z,ms,2028-01,HIST-202801-04
KPI-TEL-05,Mobility Handover Success Rate,99.910,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-05
KPI-TEL-06,Network Slice Isolation Guarantee,100.000,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-06
KPI-TEL-07,Packet Loss Ratio (User Plane),0.0008,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-07
KPI-TEL-08,Cyber Threat Containment Time,11.5,2028-01-31T23:59:59Z,min,2028-01,HIST-202801-08
KPI-TEL-09,Severity 1 Incident MTTR,12.0,2028-01-31T23:59:59Z,min,2028-01,HIST-202801-09
KPI-TEL-10,Severity 2 Incident MTTR,38.5,2028-01-31T23:59:59Z,min,2028-01,HIST-202801-10
KPI-TEL-11,Edge Facility PUE Efficiency,1.19,2028-01-31T23:59:59Z,ratio,2028-01,HIST-202801-11
KPI-TEL-12,Billing Telemetry Data Accuracy,99.995,2028-01-31T23:59:59Z,%,2028-01,HIST-202801-12
KPI-TEL-01,5G SA Core Uptime,99.988,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-01
KPI-TEL-02,gNodeB Active Availability,99.915,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-02
KPI-TEL-03,URLLC Air-Interface P99 Latency,5.20,2028-02-29T23:59:59Z,ms,2028-02,HIST-202802-03
KPI-TEL-04,MEC Compute Processing Latency,4.85,2028-02-29T23:59:59Z,ms,2028-02,HIST-202802-04
KPI-TEL-05,Mobility Handover Success Rate,99.870,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-05
KPI-TEL-06,Network Slice Isolation Guarantee,100.000,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-06
KPI-TEL-07,Packet Loss Ratio (User Plane),0.0006,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-07
KPI-TEL-08,Cyber Threat Containment Time,9.2,2028-02-29T23:59:59Z,min,2028-02,HIST-202802-08
KPI-TEL-09,Severity 1 Incident MTTR,24.5,2028-02-29T23:59:59Z,min,2028-02,HIST-202802-09
KPI-TEL-10,Severity 2 Incident MTTR,41.0,2028-02-29T23:59:59Z,min,2028-02,HIST-202802-10
KPI-TEL-11,Edge Facility PUE Efficiency,1.21,2028-02-29T23:59:59Z,ratio,2028-02,HIST-202802-11
KPI-TEL-12,Billing Telemetry Data Accuracy,99.992,2028-02-29T23:59:59Z,%,2028-02,HIST-202802-12
KPI-TEL-01,5G SA Core Uptime,100.000,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-01
KPI-TEL-02,gNodeB Active Availability,99.975,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-02
KPI-TEL-03,URLLC Air-Interface P99 Latency,3.10,2028-03-31T23:59:59Z,ms,2028-03,HIST-202803-03
KPI-TEL-04,MEC Compute Processing Latency,3.80,2028-03-31T23:59:59Z,ms,2028-03,HIST-202803-04
KPI-TEL-05,Mobility Handover Success Rate,99.940,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-05
KPI-TEL-06,Network Slice Isolation Guarantee,100.000,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-06
KPI-TEL-07,Packet Loss Ratio (User Plane),0.0004,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-07
KPI-TEL-08,Cyber Threat Containment Time,8.0,2028-03-31T23:59:59Z,min,2028-03,HIST-202803-08
KPI-TEL-09,Severity 1 Incident MTTR,11.2,2028-03-31T23:59:59Z,min,2028-03,HIST-202803-09
KPI-TEL-10,Severity 2 Incident MTTR,32.0,2028-03-31T23:59:59Z,min,2028-03,HIST-202803-10
KPI-TEL-11,Edge Facility PUE Efficiency,1.17,2028-03-31T23:59:59Z,ratio,2028-03,HIST-202803-11
KPI-TEL-12,Billing Telemetry Data Accuracy,99.998,2028-03-31T23:59:59Z,%,2028-03,HIST-202803-12
