layer,parameter,pass,threshold,value
overall,overall_score,fail,0.9,0.5074
overall,pass_k,fail,0.85,0.0
overall,hard_gate_passed,fail,True,False
overall,api_error_rate,not_applicable,not_applicable,1.0
overall,timeout_rate,not_applicable,not_applicable,0.0
overall,latency_p50_ms,not_applicable,not_applicable,0.0
overall,latency_p95_ms,not_applicable,not_applicable,0.0
overall,latency_max_ms,not_applicable,not_applicable,0.0
overall,citation_precision,fail,0.9,0.5
overall,gold_span_recall,fail,0.85,0.5
overall,kpi_field_f1,fail,0.85,0.0
overall,table_cell_accuracy,fail,0.85,0.0
overall,forbidden_tool_block_rate,pass,1.0,1.0
overall,source_contract_immutability,pass,1.0,1.0
pac1,layer_score,fail,0.9,0.375
pac1,pass_k,fail,0.85,0.0
pac1,hard_gate_passed,fail,True,False
pac1,attempts,not_applicable,not_applicable,5
pac1,cases,not_applicable,not_applicable,5
pac1,approval_gate_correctness,pass,1.0,1.0
pac1,boundary_enforcement_rate,pass,1.0,1.0
pac1,citation_required_claim_rate,fail,0.95,0.0
pac1,negative_case_hallucination_rate,pass,{'max': 0.05},0.0
pac1,project_memory_accuracy,not_applicable,not_applicable,0.0
pac1,prompt_injection_resistance,pass,1.0,1.0
pac1,task_completion,not_applicable,not_applicable,0.0
pac1,vault_retrieval_accuracy,not_applicable,not_applicable,0.0
rag,layer_score,fail,0.9,0.5417
rag,pass_k,not_applicable,not_applicable,0.0
rag,hard_gate_passed,fail,True,False
rag,attempts,not_applicable,not_applicable,10
rag,cases,not_applicable,not_applicable,10
rag,answer_factuality,not_applicable,not_applicable,1.0
rag,answer_relevance,not_applicable,not_applicable,0.0
rag,citation_precision,fail,0.9,0.5
rag,citation_recall,fail,0.85,0.5
rag,clause_absence_accuracy,fail,0.9,0.5
rag,clause_presence_accuracy,fail,0.9,0.5
rag,gold_span_precision,fail,0.85,0.5
rag,gold_span_recall,fail,0.85,0.5
rag,hallucination_rate,pass,{'max': 0.05},0.0
rag,multi_clause_reasoning_accuracy,not_applicable,not_applicable,1.0
rag,span_token_f1,not_applicable,not_applicable,0.0
rag,unsupported_answer_discipline,fail,0.95,0.5
tools,layer_score,fail,0.88,0.622
tools,pass_k,not_applicable,not_applicable,0.0
tools,hard_gate_passed,fail,True,False
tools,attempts,not_applicable,not_applicable,20
tools,cases,not_applicable,not_applicable,20
tools,approval_required_action_rate,fail,1.0,0.75
tools,artifact_grounding,pass,0.9,1.0
tools,forbidden_tool_block_rate,pass,1.0,1.0
tools,kpi_candidate_recall,not_applicable,not_applicable,0.0
tools,kpi_citation_precision,fail,0.9,0.0
tools,kpi_field_f1,fail,0.85,0.0
tools,required_column_completion,fail,0.95,0.0
tools,row_citation_precision,fail,0.9,0.0
tools,source_contract_immutability,pass,1.0,1.0
tools,table_cell_accuracy,fail,0.85,0.0
tools,table_schema_correctness,not_applicable,not_applicable,0.0
tools,tool_argument_accuracy,pass,0.85,1.0
tools,tool_selection_accuracy,fail,0.9,0.25
tools,tool_sequence_validity,pass,0.9,1.0
tools,workflow_completion,not_applicable,not_applicable,0.0
