covered,expected_by_suite,group,observed_executed,observed_in_run,observed_planned,observed_unknown_status,tool
False,False,read_only,False,False,False,False,fetch_documents
False,False,read_only,False,False,False,False,find_in_document
True,True,read_only,False,False,False,False,get_memory_context
True,True,read_only,False,False,False,False,list_documents
False,False,read_only,False,False,False,False,list_playbooks
False,False,read_only,False,False,False,False,list_tabular_reviews
False,False,read_only,False,False,False,False,list_workflows
True,True,read_only,True,True,True,True,outline_document
False,False,read_only,True,True,True,True,read_document
True,True,read_only,True,True,True,True,search_evidence
True,True,read_only,True,True,True,True,read_evidence
False,False,read_only,False,False,False,False,read_playbook_rules
False,False,read_only,False,False,False,False,read_table_cells
False,False,read_only,False,False,False,False,read_workflow
False,False,read_only,False,False,False,False,get_kpi_context
True,True,read_only,False,False,False,False,calculate_from_evidence
False,False,read_only,False,False,False,False,get_tabular_review
True,True,approval_required,True,True,True,True,suggest_tabular_review
False,False,approval_required,False,True,True,True,create_tabular_review
False,False,approval_required,False,False,False,False,generate_tabular_review
False,False,approval_required,False,False,False,False,create_draft_artifact
False,False,approval_required,False,False,False,False,create_redline_artifact
False,False,approval_required,False,False,False,False,create_editable_copy
False,False,approval_required,False,False,False,False,duplicate_document_copy
False,False,approval_required,False,False,False,False,edit_document
False,False,approval_required,False,False,False,False,extract_kpis
False,False,approval_required,False,False,False,False,generate_docx
False,False,approval_required,False,False,False,False,replicate_document
True,True,forbidden,False,False,False,False,send_email
True,True,forbidden,False,False,False,False,send_external_notice
True,True,forbidden,False,False,False,False,mutate_source_contract
True,True,forbidden,False,False,False,False,apply_redline_to_original
