covered,expected_by_suite,group,observed_executed,observed_in_run,observed_planned,observed_unknown_status,tool
True,True,read_only,True,True,False,False,list_documents
True,True,read_only,True,True,False,False,outline_document
True,True,read_only,True,True,False,False,search_evidence
True,True,read_only,True,True,False,False,read_evidence
False,False,read_only,False,False,False,False,get_kpi_context
False,False,read_only,False,False,False,False,calculate_from_evidence
False,False,read_only,False,False,False,False,list_tabular_reviews
False,False,read_only,False,False,False,False,get_tabular_review
False,False,read_only,False,False,False,False,list_playbooks
False,False,read_only,False,False,False,False,read_playbook_rules
True,True,read_only,True,True,False,False,get_memory_context
True,True,approval_required,True,True,False,False,suggest_tabular_review
False,False,approval_required,False,False,False,False,create_tabular_review
False,False,approval_required,False,False,False,False,generate_tabular_review
False,False,approval_required,False,False,False,False,create_draft_artifact
False,False,approval_required,False,False,False,False,create_redline_artifact
False,False,approval_required,False,False,False,False,create_editable_copy
False,False,approval_required,False,False,False,False,duplicate_document_copy
False,False,forbidden,False,False,False,False,send_email
False,False,forbidden,False,False,False,False,send_external_notice
False,False,forbidden,False,False,False,False,mutate_source_contract
False,False,forbidden,False,False,False,False,apply_redline_to_original
