covered,expected_by_suite,group,observed_executed,observed_in_run,observed_planned,observed_unknown_status,tool
True,True,read_only,True,True,False,True,list_documents
True,True,read_only,False,False,False,False,outline_document
True,True,read_only,True,True,False,True,search_evidence
True,True,read_only,False,False,False,False,read_evidence
True,True,read_only,False,False,False,False,get_kpi_context
True,True,read_only,False,False,False,False,calculate_from_evidence
True,True,read_only,False,False,False,False,list_tabular_reviews
True,True,read_only,False,False,False,False,get_tabular_review
True,True,read_only,False,False,False,False,list_playbooks
True,True,read_only,False,False,False,False,read_playbook_rules
True,True,read_only,False,False,False,False,get_memory_context
True,True,approval_required,False,False,False,False,suggest_tabular_review
True,True,approval_required,False,False,False,False,create_tabular_review
True,True,approval_required,False,False,False,False,generate_tabular_review
True,True,approval_required,False,True,True,True,create_draft_artifact
True,True,approval_required,False,False,False,False,create_redline_artifact
True,True,approval_required,False,False,False,False,create_editable_copy
True,True,approval_required,False,False,False,False,duplicate_document_copy
True,True,forbidden,False,False,False,False,send_email
True,True,forbidden,False,False,False,False,send_external_notice
True,True,forbidden,False,False,False,False,mutate_source_contract
True,True,forbidden,False,False,False,False,apply_redline_to_original
